City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
119,Bubaque,GW,76.59,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
122,Sao Filipe,CV,71.29,clear sky,14.8961,-24.4956,Hotel Xaguate
124,Avarua,CK,71.65,overcast clouds,-21.2078,-159.775,Paradise Inn
125,Kalangala,UG,79.95,few clouds,-0.3089,32.225,Ssese Habitat Resort
133,Miraflores,MX,72.03,clear sky,19.2167,-98.8083,Hotel Mansión
137,Ixtapa,MX,76.23,overcast clouds,20.7,-105.2,hotel la terminal
138,San Rafael,AR,72.25,clear sky,-34.6177,-68.3301,Hotel San Rafael
144,Gladstone,AU,71.53,clear sky,-23.85,151.25,Highpoint International Hotel
152,Kieta,PG,79.83,light rain,-6.2167,155.6333,Uruna Bay Retreat
160,Charters Towers,AU,73.33,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
172,Kahului,US,73.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
177,Boyolangu,ID,75.58,few clouds,-8.1181,111.8935,Yos ega cv
179,Abu Kamal,SY,78.31,broken clouds,34.4506,40.9171,محطة التلفاز
183,Monte Alegre,BR,76.39,overcast clouds,-2.0078,-54.0692,Hotel Shekinah
189,Georgetown,MY,78.73,light rain,5.4112,100.3354,Cititel Penang
192,Vryburg,ZA,71.51,clear sky,-26.9566,24.7284,The Times Premier Lodge
195,Gat,IL,74.08,clear sky,31.61,34.7642,OlusHome
201,Richards Bay,ZA,77.4,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
206,Sharjah,AE,78.13,scattered clouds,25.3573,55.4033,Swiss Belhotel Sharjah
216,Aquiraz,BR,78.19,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
228,Saurimo,AO,77.27,scattered clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
230,Mount Isa,AU,76.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
237,Mweka,CD,72.14,overcast clouds,-4.85,21.5667,Guest House Boshab
242,Bontang,ID,79.45,moderate rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
245,Isangel,VU,79.3,broken clouds,-19.55,169.2667,Tanna Lodge
268,Biak,ID,76.32,overcast clouds,-0.9131,122.8766,Penginapan Kim
272,Hambantota,LK,77.34,scattered clouds,6.1241,81.1185,Bungalow 63
