City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Aquiraz,BR,-3.9014,-38.3911,78.19,81,100,11.39,overcast clouds
217,Yangjiang,CN,21.85,111.9667,64.8,70,5,6.04,clear sky
218,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,41,100,23.38,overcast clouds
219,Longyearbyen,SJ,78.2186,15.6401,10.24,56,12,19.57,few clouds
220,Faanui,PF,-16.4833,-151.75,82.24,73,100,19.01,overcast clouds
221,Luderitz,NA,-26.6481,15.1594,64.4,69,0,9.15,clear sky
222,Laguna,US,38.421,-121.4238,58.96,73,0,5.75,clear sky
223,Saint Anthony,US,45.0205,-93.218,37.76,88,100,11.5,light rain
224,Milkovo,RU,54.7167,158.6167,15.89,84,21,1.61,few clouds
225,Villefranche-De-Rouergue,FR,44.3333,2.0,51.13,37,3,4.34,clear sky
226,Dikson,RU,73.5069,80.5464,-4.32,95,10,7.18,clear sky
227,Wufeng,CN,27.45,104.8333,40.48,93,100,4.21,overcast clouds
228,Saurimo,AO,-9.6608,20.3916,77.27,71,33,2.06,scattered clouds
229,Tuatapere,NZ,-46.1333,167.6833,55.06,83,100,5.59,light rain
230,Mount Isa,AU,-20.7333,139.5,76.77,14,5,6.91,light rain
231,Siverek,TR,37.755,39.3167,60.04,48,100,5.32,overcast clouds
232,Rio Brilhante,BR,-21.8019,-54.5464,90.16,48,5,7.56,clear sky
233,Bethel,US,41.3712,-73.414,51.15,59,19,1.99,few clouds
234,Bambous Virieux,MU,-20.3428,57.7575,80.22,79,100,13.47,overcast clouds
235,Provideniya,RU,64.3833,-173.3,-5.51,86,3,10.13,clear sky
236,Mancio Lima,BR,-7.6142,-72.8958,89.49,49,34,1.79,scattered clouds
237,Mweka,CD,-4.85,21.5667,72.14,91,100,2.89,overcast clouds
238,Skara,SE,58.3866,13.4384,36.63,91,100,7.0,overcast clouds
239,Cadillac,US,44.2519,-85.4012,34.09,93,100,12.66,snow
240,Malinovskiy,RU,61.1953,62.8397,32.05,97,100,4.07,overcast clouds
241,Ozernovskiy,RU,51.5,156.5167,33.3,72,39,10.87,scattered clouds
242,Bontang,ID,0.1333,117.5,79.45,84,82,2.95,moderate rain
243,Poum,NC,-20.2333,164.0167,81.46,83,100,23.98,moderate rain
244,Ballina,AU,-28.8667,153.5667,67.01,99,19,3.94,few clouds
245,Isangel,VU,-19.55,169.2667,79.3,85,84,6.31,broken clouds
246,Tromso,NO,69.6496,18.957,28.42,43,0,5.75,clear sky
247,Shelburne,CA,44.0787,-80.2041,42.76,76,100,5.14,overcast clouds
248,Jawhar,SO,2.7809,45.5005,82.72,65,17,17.56,few clouds
249,Lewisporte,CA,49.2499,-55.0482,45.55,55,40,5.39,scattered clouds
250,Burgeo,CA,47.6167,-57.6152,33.1,94,100,6.42,light snow
251,Cockburn Town,TC,21.4612,-71.1419,82.36,69,75,12.66,broken clouds
252,Chara,RU,56.9064,118.2631,0.03,75,96,2.89,overcast clouds
253,Cotonou,BJ,6.3654,2.4183,85.91,70,85,13.13,overcast clouds
